Date : 2025-10-20 15:20:30
Directory : c:\Users\a603\work\intelligent_traffic\frontend
Total : 362 files,  64034 codes, 2012 comments, 3561 blanks, all 69607 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\container\layout\homeview\TrafficRank                                                                                     |          1 |         46 |         23 |         10 |         79 |
| src\components\container\layout\homeview\css                                                                                             |          7 |        182 |          1 |         12 |        195 |
| src\components\container\plan-view                                                                                                       |         32 |      2,046 |        108 |        207 |      2,361 |
| src\components\container\plan-view\Overview                                                                                              |          2 |        117 |          1 |         15 |        133 |
| src\components\container\plan-view\TopViolation                                                                                          |          2 |         85 |          0 |         12 |         97 |
| src\components\container\plan-view\TrafficJam                                                                                            |          2 |        160 |          1 |         10 |        171 |
| src\components\container\plan-view\TrafficRank                                                                                           |          2 |         99 |         27 |         12 |        138 |
| src\components\container\plan-view\bottom                                                                                                |         10 |        603 |         33 |         61 |        697 |
| src\components\container\plan-view\bottom\AverageDelay                                                                                   |          2 |        129 |          4 |          9 |        142 |
| src\components\container\plan-view\bottom\Overview                                                                                       |          2 |        130 |          1 |         18 |        149 |
| src\components\container\plan-view\bottom\TopViolation                                                                                   |          2 |         85 |          0 |         12 |         97 |
| src\components\container\plan-view\bottom\TrafficJam                                                                                     |          2 |        160 |          1 |         10 |        171 |
| src\components\container\plan-view\bottom\TrafficRank                                                                                    |          2 |         99 |         27 |         12 |        138 |
| src\components\container\plan-view\sidebar-left                                                                                          |          6 |        316 |          3 |         24 |        343 |
| src\components\container\plan-view\sidebar-left\Bottom                                                                                   |          2 |        145 |          1 |         13 |        159 |
| src\components\container\plan-view\sidebar-left\Top                                                                                      |          2 |         72 |          0 |          5 |         77 |
| src\components\container\plan-view\sidebar-left\TrafficFlow                                                                              |          2 |         99 |          2 |          6 |        107 |
| src\components\container\plan-view\sidebar-right                                                                                         |          8 |        666 |         43 |         73 |        782 |
| src\components\container\plan-view\sidebar-right\Bottom                                                                                  |          2 |        126 |         15 |         11 |        152 |
| src\components\container\plan-view\sidebar-right\FunctionIcons                                                                           |          2 |         72 |          0 |          6 |         78 |
| src\components\container\plan-view\sidebar-right\Top                                                                                     |          2 |        170 |         25 |         20 |        215 |
| src\components\container\plan-view\sidebar-right\ViolationOverview                                                                       |          2 |        298 |          3 |         36 |        337 |
| src\components\rights                                                                                                                    |         30 |      2,564 |         93 |        202 |      2,859 |
| src\components\rights\FlowAnalysis                                                                                                       |          2 |        149 |          4 |          7 |        160 |
| src\components\rights\FlowRuntime                                                                                                        |          2 |        119 |          2 |         14 |        135 |
| src\components\rights\FlowTrend                                                                                                          |          2 |        129 |          6 |         15 |        150 |
| src\components\rights\FunctionBar                                                                                                        |          2 |         59 |          0 |          6 |         65 |
| src\components\rights\Icons                                                                                                              |          2 |          0 |          0 |          2 |          2 |
| src\components\rights\JunctionOptResult                                                                                                  |          2 |        175 |          5 |          9 |        189 |
| src\components\rights\JunctionOptstrategy                                                                                                |          2 |        119 |          5 |          8 |        132 |
| src\components\rights\JunctionTimeprogress                                                                                               |          2 |        545 |         21 |         50 |        616 |
| src\components\rights\OptGraph                                                                                                           |          2 |        171 |         14 |         16 |        201 |
| src\components\rights\OptText                                                                                                            |          2 |        216 |         10 |         17 |        243 |
| src\components\rights\RightTopBtn                                                                                                        |          2 |        193 |          7 |         12 |        212 |
| src\components\rights\TotalTrafficMonitor                                                                                                |          2 |        353 |         11 |         16 |        380 |
| src\components\rights\TrafficCongestionData                                                                                              |          2 |        175 |          3 |         13 |        191 |
| src\components\rights\TrafficCongestionMonitor                                                                                           |          2 |         99 |          2 |          8 |        109 |
| src\components\rights\TrafficLive                                                                                                        |          2 |         62 |          3 |          9 |         74 |
| src\css                                                                                                                                  |         12 |        749 |        117 |         45 |        911 |
| src\pages                                                                                                                                |         12 |        924 |         49 |         91 |      1,064 |
| src\pages\CruiserPage                                                                                                                    |          2 |         70 |          9 |          3 |         82 |
| src\pages\DigitalTwin                                                                                                                    |          2 |         80 |          4 |          4 |         88 |
| src\pages\GPT                                                                                                                            |          2 |        497 |         21 |         74 |        592 |
| src\pages\JunctionLight                                                                                                                  |          2 |        104 |          6 |          3 |        113 |
| src\pages\TrafficDetect                                                                                                                  |          2 |         88 |          5 |          3 |         96 |
| src\pages\TrafficFlow                                                                                                                    |          2 |         85 |          4 |          4 |         93 |
| src\statics                                                                                                                              |         11 |     10,592 |        373 |        819 |     11,784 |
| src\statics (Files)                                                                                                                      |          3 |      1,130 |        132 |        201 |      1,463 |
| src\statics\bootstrap-3.4.1-dist                                                                                                         |          8 |      9,462 |        241 |        618 |     10,321 |
| src\statics\bootstrap-3.4.1-dist\css                                                                                                     |          4 |      7,409 |         24 |          0 |      7,433 |
| src\statics\bootstrap-3.4.1-dist\fonts                                                                                                   |          1 |        288 |          0 |          0 |        288 |
| src\statics\bootstrap-3.4.1-dist\js                                                                                                      |          3 |      1,765 |        217 |        618 |      2,600 |
| src\stores                                                                                                                               |         41 |      1,362 |         47 |        154 |      1,563 |
| src\stores (Files)                                                                                                                       |         10 |        190 |          5 |         23 |        218 |
| src\stores\digitalTwin                                                                                                                   |          8 |        244 |          4 |         33 |        281 |
| src\stores\junctionLight                                                                                                                 |         11 |        334 |         11 |         37 |        382 |
| src\stores\storesNewUI                                                                                                                   |         12 |        594 |         27 |         61 |        682 |
| src\utils                                                                                                                                |          2 |        472 |         44 |         84 |        600 |
| statics                                                                                                                                  |         12 |     10,803 |        401 |        826 |     12,030 |
| statics (Files)                                                                                                                          |          4 |      1,341 |        160 |        208 |      1,709 |
| statics\bootstrap-3.4.1-dist                                                                                                             |          8 |      9,462 |        241 |        618 |     10,321 |
| statics\bootstrap-3.4.1-dist\css                                                                                                         |          4 |      7,409 |         24 |          0 |      7,433 |
| statics\bootstrap-3.4.1-dist\fonts                                                                                                       |          1 |        288 |          0 |          0 |        288 |
| statics\bootstrap-3.4.1-dist\js                                                                                                          |          3 |      1,765 |        217 |        618 |      2,600 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\a603\work\intelligent_traffic\frontend\.env                                                                                     | Properties         |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\README.md                                                                                | Markdown           |         38 |          0 |         33 |         71 |
| c:\Users\a603\work\intelligent_traffic\frontend\jsconfig.json                                                                            | JSON with Comments |          8 |          0 |          0 |          8 |
| c:\Users\a603\work\intelligent_traffic\frontend\package-lock.json                                                                        | JSON               |     22,035 |          0 |          1 |     22,036 |
| c:\Users\a603\work\intelligent_traffic\frontend\package.json                                                                             | JSON               |         57 |          0 |          1 |         58 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\README.md                                                                         | Markdown           |         38 |          0 |         33 |         71 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\digitalTwinEvent.js                                                               | JavaScript         |         93 |          2 |         16 |        111 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\events202508.js                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\index.html                                                                        | HTML               |        133 |          0 |         19 |        152 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\junctionEvent.js                                                                  | JavaScript         |         40 |         10 |          9 |         59 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\lightControl.js                                                                   | JavaScript         |         71 |         11 |          7 |         89 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\manifest.json                                                                     | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\output\README.md                                                                  | Markdown           |         38 |          0 |         33 |         71 |
| c:\Users\a603\work\intelligent_traffic\frontend\public\output\manifest.json                                                              | JSON               |          3 |          0 |          0 |          3 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\App.js                                                                               | JavaScript         |         87 |          6 |          3 |         96 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\C3.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\Lineup1.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\Total.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\car.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\congestedJunction.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\forward.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-bus.svg                                                             | XML                |         48 |          0 |          1 |         49 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-camera.svg                                                          | XML                |         49 |          0 |          1 |         50 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-capacity.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-car.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-cloud.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-down.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-forward.svg                                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-green-pointer.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-human.svg                                                           | XML                |         47 |          0 |          1 |         48 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-junction.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-left.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-line.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-list-arrow.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-nav.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-onroadCar.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-park.svg                                                            | XML                |         46 |          0 |          1 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-people.svg                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-pointer.svg                                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-police-car.svg                                                      | XML                |         49 |          0 |          1 |         50 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-rain.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-red-pointer.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-road.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-snow.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-sun.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-triangle.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-up.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\icon-warning.svg                                                         | XML                |         44 |          0 |          1 |         45 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\parking.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\signal.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\time2.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\traffic-light-icon.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\trafficLight.svg                                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\icon\turnleft.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\image\DOWN.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\assets\image\UP.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\AMap\Amap.jsx                                                             | JavaScript JSX     |        414 |         49 |         51 |        514 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\AMap\index.module.scss                                                    | SCSS               |          7 |          0 |          1 |          8 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\Centre.js                                                                 | JavaScript         |         10 |         20 |          7 |         37 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\CruiserMain.js                                                            | JavaScript         |         16 |          0 |          3 |         19 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\DigitalTwin.js                                                            | JavaScript         |         20 |          0 |          2 |         22 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\FirstHeader.js                                                            | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\Header.js                                                                 | JavaScript         |         19 |         18 |          1 |         38 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\JunctionMain.js                                                           | JavaScript         |         22 |          3 |          2 |         27 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\Nav.jsx                                                                   | JavaScript JSX     |         34 |          0 |          5 |         39 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\PlanMain.js                                                               | JavaScript         |         33 |          3 |          4 |         40 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\CruiserSetting\CruiserSetting.jsx                                 | JavaScript JSX     |        166 |          4 |         14 |        184 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\CruiserSetting\index.module.scss                                  | SCSS               |        149 |          2 |         23 |        174 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\FlowSpeed\FlowSpeed.jsx                                           | JavaScript JSX     |        171 |          3 |          9 |        183 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\FlowSpeed\index.module.scss                                       | SCSS               |         55 |          4 |          7 |         66 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\GreenWave\GreenWave.jsx                                           | JavaScript JSX     |        177 |          4 |         14 |        195 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\GreenWave\index.module.scss                                       | SCSS               |        154 |          2 |         23 |        179 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionGreenFLow\JunctionGreenFlow.jsx                           | JavaScript JSX     |        239 |          9 |         20 |        268 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionGreenFLow\index.module.scss                               | SCSS               |         78 |          0 |          8 |         86 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionOpt\JunctionOpt.jsx                                       | JavaScript JSX     |         54 |          1 |          5 |         60 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\JunctionOpt\index.module.scss                                     | SCSS               |         73 |          1 |          3 |         77 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\scrollAlert\ScrollAlert.jsx                                       | JavaScript JSX     |        162 |          3 |         17 |        182 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\bottoms\scrollAlert\index.module.scss                                     | SCSS               |        125 |          0 |          6 |        131 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\city.js                                                                   | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\TextArea\TextArea.jsx                                           | JavaScript JSX     |        178 |         21 |         29 |        228 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\TextArea\index.scss                                             | SCSS               |         49 |          0 |          2 |         51 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\Weather\Weather.jsx                                             | JavaScript JSX     |         43 |          0 |          4 |         47 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\Weather\index.scss                                              | SCSS               |         33 |         21 |          2 |         56 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\cruiser-view\Map\Map.jsx                                        | JavaScript JSX     |         63 |          6 |         12 |         81 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\cruiser-view\Map\Map.scss                                       | SCSS               |          6 |          0 |          1 |          7 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Line-container\index.js                           | JavaScript         |        113 |          4 |          7 |        124 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Pedestrain-optimize\index.js                      | JavaScript         |        135 |         17 |          5 |        157 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Pedestrain-optimize\index.scss                    | SCSS               |         94 |          0 |          3 |         97 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Pie-container\index.js                            | JavaScript         |         57 |          0 |          2 |         59 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Strategy-Compare\index.js                         | JavaScript         |         18 |          0 |          2 |         20 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Strategy-Compare\strategy.module.scss             | SCSS               |         32 |          1 |          1 |         34 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Traffic-Flow\index.js                             | JavaScript         |         43 |          0 |          2 |         45 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Traffic-Overview\JunctionOverview.jsx             | JavaScript JSX     |         47 |          0 |         10 |         57 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\Traffic-Overview\index.scss                       | SCSS               |         85 |          1 |         10 |         96 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\BigMap.jsx                               | JavaScript JSX     |        212 |         43 |         17 |        272 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\Chat.jsx                                 | JavaScript JSX     |        155 |         11 |         25 |        191 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\ClickOptimise.jsx                        | JavaScript JSX     |        141 |          6 |          4 |        151 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\ControlStrategy.jsx                      | JavaScript JSX     |         63 |          3 |          8 |         74 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\Evaluation.jsx                           | JavaScript JSX     |         55 |          1 |          9 |         65 |
| c:\Users\a603\work\intelligent_traffic\frontend\src\components\container\junction-view\newStyle\JunctionCapture.jsx                      | JavaScript JSX     |         65 |         15 |         11 |         91 |
